class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_publication_date,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,identifier,https://rism.online/sources/990017938,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,identifier,http://id.sbn.it/bid/MUS0132078,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,title,,,,,"Di Giulio Fiesco il primo libro di madrigali a quattro voci, nouamente da lui composti, & da Antonio Gardane con somma diligentia stampati, & dati in luce",,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,inception,,,,,,1554.0,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,has_version,,,,,,,http://id.sbn.it/bid/MUS0132078,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",1554.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00071908,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00071908/manifest,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/36jLqrwt8vLG,Giulio Fiesco,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Di Giulio Fiesco il primo libro di madrigali a quattro voci,",,,Di Giulio Fiesco il primo libro di madrigali a quattro voci,Di Giulio Fiesco il primo libro di madrigali a quattro voci.md,aWwmY4kgB85m,670827207536745335377,has_part,,,,,,,,,,,,,,,,,,,,,
