class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_IIIF_manifest,has_version_external_source,has_version_holding_institution,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,language_value,language_label
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,identifier,http://id.sbn.it/bid/LO1E000434,,,,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SU3pQXxUvDMC,(Driscoll 2022),,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XMoQEYPeMePf,short story collection,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,title,,,,,,Le sette giornate del mondo creato del s. Torquato Tasso,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,inception,,,,,,,1607.0,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,has_version,,,,,,,,1607.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o5mMq5iaHfFT', 'label': 'Viterbo'}]",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10758223/manifest,https://www.digitale-sammlungen.de/en/view/bsb10758223,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://mdz-nbn-resolving.de/details:bsb10758223,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,has_version,,,,,,,,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bj2JQvStXBT3', 'label': 'Genova'}]",,,,http://id.sbn.it/bid/LO1E000434,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YvLbpbXURbTT,Torquato Tasso,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,based_on,,,,,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,has_part,,,,,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,depicts,,,,,,,,,,,,,,,,,,,,,,,,
Book,Le sette giornate del mondo creato del s. Torquato Tasso,,,Le sette giornate del mondo creato del s. Torquato Tasso,Le sette giornate del mondo creato del s. Torquato Tasso.md,ix5ppinqRfTx,845010067071595019907,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
