class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,member_of,,,,,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,related_to,,,,,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,notable_work,,,,,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,interested_in,,,,,,,,,,,,,,,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,catalog_identifier,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",19995.0,
Agent,Melchiorre Sessa,Melchiorre Sessa.md,Melchiorre Sessa,JWGGVqBdWucJ,340401866445008097391,present_in_work,,,,,,,,,,,,,,,
