class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,identifier,http://www.wikidata.org/entity/Q22907032,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cNtQcyDjLamc,(Forshaw 2010),,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,instance_of,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,title,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,inception,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,has_version,,,,,,,1758.0,https://archive.org/details/b33019617,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gb7sB4jm4YVo', 'label': 'Internet Archive'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vk6N94Pp347C', 'label': 'Paris'}]",,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9PZmwTEUKers,Michael Maier,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,based_on,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,catalog_identifier,,,,,,,,,,,,,,,,,,
Book,Cantilenae intellectuales,,,Cantilenae intellectuales,Cantilenae intellectuales.md,Gq3x2rvyD6i7,305930535395612624891,has_part,,,,,,,,,,,,,,,,,,
