class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_end_date,member_of_label,member_of_reference,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,identifier,http://www.wikidata.org/entity/Q601844,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GaMRGcMjx2SV,(Girotto 2017),,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGxg3GX8Zcio,1543.0,1544.0,Accademia degli Ortolani di Piacenza,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UzZNWJEs6Uvu,1545.0,1546.0,Accademia Fiorentina,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GaMRGcMjx2SV', 'label': '(Girotto 2017)'}]",,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,occupation,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,related_to,,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,notable_work,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nRjVfw37DWEf,Accademia dei Pellegrini,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Anton Francesco Doni,,,Anton Francesco Doni,Anton Francesco Doni.md,BarcvHNHhyjC,197616926590521912970,catalog_identifier,,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15698.0
