class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_holding_institution,has_version_permalink,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,identifier,https://edit16.iccu.sbn.it/titolo/CNCE044589,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV50910010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,identifier,https://rism.online/sources/993120186,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,title,,,,,,"Madregali ariosi a quatro voci composti da diversi eccellentissimi autori, et per Antonio Gardano nuouamente con somma diligentia stampati. Libro primo delle Muse a quatro voci",,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,inception,,,,,,,1555.0,,,,,,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1565.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AsVXdHbvfD4X', 'label': 'Royal Holloway University of London'}",https://edit16.iccu.sbn.it/titolo/CNCE044600,https://repository.royalholloway.ac.uk/items/104ae069-afd2-74d2-ef5a-6ca1103f5a0a/1/?search=%2Fsearching.do&index=1&available=20,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]",1555.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WWUDgDCHvdwH', 'label': 'Antonio Barré'}",,http://id.sbn.it/bid/MUS0062579,,,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1557.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",,https://edit16.iccu.sbn.it/titolo/CNCE044589,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_R/R197/,Alto missing,,,,,,,,
NotatedMusic,Libro primo delle Muse a quattro voci,,,Libro primo delle Muse a quattro voci,Libro primo delle Muse a quattro voci.md,Mu4JDwY9zy3W,410560307002258569121,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7U6R2yxkegZz,Giovanni Domenico da Nola,,,,,
