class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,identifier,http://id.sbn.it/bid/BVEV063165,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,described_by_source,,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,member_of,,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,related_to,,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,notable_work,,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Girolamo Cochi,,,Girolamo Cochi,Girolamo Cochi.md,9WNMXGQEjZPU,154717436110734528686,present_in_work,,,,,,,,,,,,,,,,,
