class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,discovery,discovery.md,discovery,8fwpHxgNG6ST,137552417045572865056,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NipdbPwHTGmA,activity,,,
Concept,discovery,discovery.md,discovery,8fwpHxgNG6ST,137552417045572865056,subclass_of,,,,,
Concept,discovery,discovery.md,discovery,8fwpHxgNG6ST,137552417045572865056,opposite_of,,,,,
Concept,discovery,discovery.md,discovery,8fwpHxgNG6ST,137552417045572865056,identifier,,,,,http://www.wikidata.org/entity/Q12772819
