class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,work_location,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,member_of,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,related_to,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,notable_work,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,interested_in,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,catalog_identifier,,,,,,,,,,,,,
Agent,Antonio Alamanni,Antonio Alamanni.md,Antonio Alamanni,44pqBuX4mJ4v,42293290230005761093,identifier,,,,,,,,,,,,,http://www.wikidata.org/entity/Q2857170
