class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,identifier,http://www.wikidata.org/entity/Q15401863,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,described_by_source,,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2owGEFrqwTRx,Salerno,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,member_of,,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv,patron of the arts,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wx2S3JYJxpZo,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4KLdoEW9rAv', 'label': 'patron of the arts'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DJam8o3efkSd', 'label': '(Faini 2020)'}]",Ortensio Lando,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,notable_work,,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,interested_in,,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,catalog_identifier,,,,,,,,,,,,,,,,,,,
Agent,Isabella Villamarina,Princess of Salerno,,Isabella Villamarina,Isabella Villamarina.md,EAyEC3fo5R3j,250877752531609847192,present_in_work,,,,,,,,,,,,,,,,,,,
