class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,identifier,http://www.wikidata.org/entity/Q4685603,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,described_by_source,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,work_location,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,member_of,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oJ7bBDGkTcz8,actor,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/n3jrHXfwYr6b,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VhyHLKrTwA7t', 'label': 'colleague'}",Vincenza Armani,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,notable_work,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,interested_in,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Adriano Valerini,,,Adriano Valerini,Adriano Valerini.md,2JBDGRh7Z94i,5850950362544674045,present_in_work,,,,,,,,,,,,,,,,,
