class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_publisher,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,identifier,https://edit16.iccu.sbn.it/titolo/CNCE074091,,,,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Piy3NGohA88,(Artese 1983),,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,title,,,,,,Madrigali del caualier Gio. Maria Bonardo fratteggiano. Dedicati alla illustrissima signora Lucretia Gonzaga marchesana,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,inception,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,has_version,,,,,,,,1598.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE006858,https://www.google.be/books/edition/Madriagli_Nuouamente_ampliati_reuisti_co/uulmAAAAcAAJ,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TXv6ZTMUTHuN', 'label': 'Agostino Zoppini'}",2nd edition.,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,has_version,,,,,,,,1563.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE074091,https://www.google.be/books/edition/Madrigali_Del_Cavalier_Gio_Maria_Bonardo/K382l3q5DfkC,,1st edition.,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MChXgeZUcmSs,Lucrezia Gonzaga,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U54h5JspdXgD,Giovanni Maria Bonardo,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q6FD2rU7f347,salon,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,has_part,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,based_on,,,,,,,,,,,,,,,,,,,,,
Book,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,Madrigali del cavalier Gio. Maria Bonardo fratteggiano.md,iDJjy4U3Wogz,829524661958080491839,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
