class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,work_location,,,,,,,,,,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9yMg38pzu5NF,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",1575.0,Accademia degli Alterati di Firenze,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,related_to,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KkirRe7joUQE,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cA2ZGRKmQjw9', 'label': 'literary host'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QpRHW25h2fbi', 'label': '(Levy 2017)'}]",Tullia d'Aragona,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,notable_work,,,,,,,,,,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,interested_in,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QpRHW25h2fbi', 'label': '(Levy 2017)'}]",parlour game,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,identifier,,,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q237717,,
Agent,Eleanor of Toledo,Eleanor of Toledo.md,Eleanor of Toledo,9btJxu6ZTaQm,156717862469982195904,described_by_source,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QpRHW25h2fbi,(Levy 2017)
