class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F263400000010101_000000134800C,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/THDdx5np8gBo,Giandomenico Martoretta,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QG8DUy9nrgZ9,Luigi Transillo,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bdRLRxnHkEJT,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,instrumentation,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,based_on,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,derivative_work,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,text,,,,,,,,,,,,,,"S'È ver quel che si legge
L'amante nell'amata si trasforma
Presa l'amata forma
Non sono più quel ch'era ma son voi 
Se cosa dunqu'ho detto che v'annoi
Non incolpate donn'il parlar mio
Che la dicesti voi non la diss'io.",,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,language,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,subject,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,poetic_type,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,depicts,,,,,,,,,,,,,,,,,,,
MusicComposition,S'è ver quel che si legge (Martoretta),,"[""Se'l ver quel che si legge""]",S'è ver quel che si legge (Martoretta),S'è ver quel che si legge (Martoretta).md,egPxJpiXZw8s,756789093500826008083,metre,,,,,,,,,,,,,,,,,,,
