class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dGUWfMNNCYuo,Gaspara Stampa,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,part_of,,,,,,,,81.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h3THWXv6qB74,Rime di madonna Gaspara Stampa,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TRHMAMaRfnLP,torment,,,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VyiHhzpodNyS,eye,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gTFK5xEZrb79,abyss,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/H8pNPRSuos4Q,jealousy,,,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Se poteste Signor con l'occhio interno,,,Se poteste Signor con l'occhio interno,Se poteste Signor con l'occhio interno.md,2hMVqfWWUbFG,14243079457511676719,text,,,,,,,,,,,,,,,,,,,,,,,"Se poteste Signor con l'occhio interno
Penetrar'i segreti del mio core,
Come vedete queste ombre di fuore,
Apertamente con questo occhio esterno,

Vi vedreste le pene de l'Inferno,
Un abisso infinito di dolore,
Quanta mai gelosia, quanto timore
Amor'ha dato, o può dar'in eterno.

E vedreste voi stesso seder donno
In mezo a l'alma, cui tanti tormenti
Non han potuto mai cavarvi, o ponno.

E tutti altri disir vedreste spenti,
Od oppressi da grave et alto sonno,
E sol quei d'haver voi, desti & ardenti."
