class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value,related_to_value
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,identifier,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,described_by_source,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,inception,,,,,1622.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,dissolved,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ReXg6kyDseAt,Palermo,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,official_website,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",118.0,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hWMDUbda6yPM,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Andrea Perrucci,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,interested_in,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,notable_work,,,,,,,,,,,,,,,,,,
Organisation,Accademia dei Riaccesi di Palermo,,['Accademia degli Accesi di Palermo'],Accademia dei Riaccesi di Palermo,Accademia dei Riaccesi di Palermo.md,kXepx96AePiK,877440646298706191300,related_to,,,,,,,,,,,,,,,,,,
