class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,identifier,http://www.wikidata.org/entity/Q92914479,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,identifier,https://lyra.unil.ch/agents/41,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B8k36QrtTQLU,Progetto Lyra,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,work_location,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,member_of,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,related_to,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,notable_work,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,interested_in,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Luigi Cassola,,,Luigi Cassola,Luigi Cassola.md,RXceEhxAfBG4,485344650137287425929,present_in_work,,,,,,,,,,,,,,,,
