class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,identifier,http://www.wikidata.org/entity/Q232916,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,described_by_source,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,work_location,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,member_of,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/M3PBndaB98dd,cartographer,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MoUbTMoUPuYW,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ev3YuNAVyPXa', 'label': '(Hendrix 2017)'}]",Bentveughels,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,notable_work,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,interested_in,,,,,,,,,,,,,,,,
Agent,Abraham Ortelius,,,Abraham Ortelius,Abraham Ortelius.md,RNZcj9iYXdXn,482067128496343166195,catalog_identifier,,,,,,,,,,,,,,,,
