class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_publisher,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,identifier,https://rism.online/sources/990009168,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV04470010,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,described_by_source,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGZbeqwxbiop,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,title,,,,,Di Maddalena Casulana il secondo libro de madrigali a quatro voci,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,inception,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,has_version,,,,,,,1570.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PUiiibUDCxVm', 'label': 'Girolamo Scotto'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE037180,https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00074123,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hqjifQ4xf6p6', 'label': 'Munich Digitization Center'}",https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00074123/manifest,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kp4ihyYwsoek,Maddalena Casulana,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,subject,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,,,Di Maddalena Casulana il secondo libro de madrigali a quattro voci,Di Maddalena Casulana il secondo libro de madrigali a quattro voci.md,RnBreoMf52JQ,490617747812700633742,has_part,,,,,,,,,,,,,,,,,,,,,
