class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F029890000010101_000000164700C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GAQAqHE8Uttv,Paolo Emilio Balzani,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fKPHno6VcEYj,Alfonso Montesano,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nwQ9xGK7kzxB,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JQL5yoyTLQcN,bassus,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YpD8xTW34ppx,altus,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/egtVGoqDNy4L,cantus,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,based_on,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DWK2z54uwKH2,Filli caro ben mio,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,text,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,language,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,subject,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,poetic_type,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,depicts,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Bastami un guardo solo (Montesano),,,Bastami un guardo solo (Montesano),Bastami un guardo solo (Montesano).md,gvEGfRxbXrYC,803067779875919749228,metre,,,,,,,,,,,,,,,,,,,,,,
