class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,identifier,http://www.wikidata.org/entity/Q7803,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,described_by_source,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,work_location,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,member_of,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hybEFcuqMtfz,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YfUNbStqAZ4d', 'label': '(Geremicca 2017)'}]",Benedetto Varchi,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,notable_work,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,interested_in,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,CbZs3TGRJnn2,218508457038799076754,catalog_identifier,,,,,,,,,,,,,,,,
