class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_permalink,has_version_external_source,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,identifier,https://edit16.iccu.sbn.it/titolo/CNCE004130,,,,,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gVSttRUbFw6e,(Faini 2020),,,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9m23V9Hha9iA,treatise,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,title,,,,,,Predica de i sogni composta per lo reuerendo padre Hypneo da Schio,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,inception,,,,,,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nNtFe5mje86L', 'label': 'Francesco Marcolini'}",1542.0,https://edit16.iccu.sbn.it/titolo/CNCE004130,https://bnedigital.bne.es/bd/es/viewer?id=40c387ad-80bf-4d08-bd0c-17253d29616e,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BhaViHzV47bP', 'label': 'Biblioteca Nacional de España'}",,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cmUaXPEGtFwL,Daniele Barbaro,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,subject,,,,,,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,has_part,,,,,,,,,,,,,,,,,,,
Book,Predica de i sogni,,,Predica de i sogni,Predica de i sogni.md,UoChhqc3tso7,552892835364766908422,based_on,,,,,,,,,,,,,,,,,,,
