class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,member_role,member_start_date,member_end_date,interested_in_value,interested_in_reference,interested_in_label,notable_work_value
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,identifier,http://www.wikidata.org/entity/Q55595339,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy,(Sampson 2020),,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,instance_of,,,,[[academy]],,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,inception,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,dissolved,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCJ6Wh9v2ggw,Parma,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,official_website,,,,,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",106.0,,,,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fdv7dxanqXp9,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Muzio Manfredi,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WMHwrx2Fwxan,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Angelo Ingegneri,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aHnMfL7WCnia,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Angelo Grillo,,,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eDLkvXHFMYdu,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Battista Guarini,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}",,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJZ7Qau55M9Z,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Torquato Tasso,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}",1581.0,,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UNnUCq2cCygA,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6o7ptgSPFKW7', 'label': '(Moralejo Ortega 2017)'}]",Federico Zuccari,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4NmckkLszZdN', 'label': 'visitor'}",1607.0,1608.0,,,,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WjkwkY3qDEUr,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",pastoral drama,
Organisation,Accademia degli Innominati di Parma,,,Accademia degli Innominati di Parma,Accademia degli Innominati di Parma.md,Tg2twUHRexM5,529660439889837277398,notable_work,,,,,,,,,,,,,,,,,,,,,
