class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,work_location,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,member_of,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,related_to,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,notable_work,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,interested_in,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,catalog_identifier,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,present_in_work,,,,,,,,,,,,,,,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q3617034,
Agent,Angelo Ingegneri,Angelo Ingegneri.md,Angelo Ingegneri,icCnZv5P72CP,837813608880978343479,described_by_source,,,,,,,,,,,,,,,
