class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,identifier,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cg4AvGtwt6Bs,female,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,work_location,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,member_of,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,occupation,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nEyUNwKcZNxU', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfquJ8xytX6t', 'label': ""Discorso sopra tutti li primi canti d'Orlando Furioso""}]",Laura Terracina,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,notable_work,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,interested_in,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,catalog_identifier,,,,,,,,,,,,,,,,,,
Agent,Eleonora Sanseverino,,,Eleonora Sanseverino,Eleonora Sanseverino.md,W57hkrxLT7ru,578927483831083605486,present_in_work,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GfquJ8xytX6t,Discorso sopra tutti li primi canti d'Orlando Furioso
