class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq,Venezia,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,member_of,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hYMECrC2z35,publisher,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,related_to,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,notable_work,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,interested_in,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,catalog_identifier,,,,,,,,,,,,,,
Agent,Ludovico Avanzi,Ludovico Avanzi.md,Ludovico Avanzi,hc5sH2Vo635b,817133772852952036917,identifier,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q51885403
