class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_value
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,identifier,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,described_by_source,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL,Napoli,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,member_of,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,occupation,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,related_to,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,notable_work,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2Sb8fPnR73AZ,Aeri racolti insieme,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,interested_in,,,,,,,,,,,,,,,
Agent,Rocco Rodio,,,Rocco Rodio,Rocco Rodio.md,kj8PrHbstvRV,881591705251470741543,catalog_identifier,,,,,,,,,,,,,,,
