class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,identifier,http://www.wikidata.org/entity/Q1768433,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,described_by_source,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,work_location,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,member_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XLb6JFQe3x4B,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hf8QuFxNx8Jg', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rfdm5oYMwDjo,cardinal,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,related_to,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,notable_work,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,interested_in,,,,,,,,,,,,,,,,,
Agent,Agostino Valier,,,Agostino Valier,Agostino Valier.md,cRAK3pJBVb36,710000072520538966819,catalog_identifier,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",16339.0
