class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_reference,member_value,member_start_date,member_label,interested_in_value,interested_in_label,notable_work_value,identifier_value
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/faKgxGgth5dr,academy,,,,,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,inception,,,,,,,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,catalog_identifier,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",493.0,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,member,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eqXqmD8qjEdV', 'label': '(Moralejo Ortega 2017)'}]",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UyK6rcL5shtk,1565.0,Federico Zuccari,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,interested_in,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eRj7U7HDLrGe,visual arts,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,notable_work,,,,,,,,,,,,,,,,,
Organisation,Accademia del Disegno di Firenze,Accademia del Disegno di Firenze.md,Accademia del Disegno di Firenze,6dBGbXyqu7h5,95273554878773327100,identifier,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q1760178
