class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VfXvKbubUY6q,Giovanni Francesco Maia Materdona,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EpGZ2EhuBLfS,"Effetti del Suon, del Canto, e del Volto della Sig. Ad.",260.0,Il teatro delle glorie della signora Adriana Basile,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dw8U7c9dKgjv,singing,,,,,,,,,
PoeticWork,Se di Basile il volto,,,Se di Basile il volto,Se di Basile il volto.md,Kucrmpe4CFvi,369495382051966211944,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
