class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,pastoral drama,,['favola pastorale'],pastoral drama,pastoral drama.md,WjkwkY3qDEUr,592921313878072074381,identifier,http://www.wikidata.org/entity/Q3715150,
Concept,pastoral drama,,['favola pastorale'],pastoral drama,pastoral drama.md,WjkwkY3qDEUr,592921313878072074381,described_by_source,,
