class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_relationship,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,identifier,http://www.wikidata.org/entity/Q3853841,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,described_by_source,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,work_location,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,member_of,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,occupation,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KdpUz4v9w5E3,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UZuCbSwwuwLY', 'label': 'lover'}",Angelica,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,notable_work,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,interested_in,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,catalog_identifier,,,,,,,,,,,,,,,,,
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,present_in_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso
Agent,Medoro,,,Medoro,Medoro.md,hLuZufPFJhy2,811644175640004903147,present_in_work,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LgvtnF7kZsg4,D'Angelica di m. Pietro Aretino due primi canti
