class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,identifier,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,described_by_source,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,work_location,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,member_of,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,occupation,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,related_to,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LSF6bThbK7xx,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/54ahrKe9RtC2', 'label': 'Rime della signora Tullia di Aragona et di diversi a lei'}]",Tullia d'Aragona,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,notable_work,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,interested_in,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Pietro Manelli,,,Pietro Manelli,Pietro Manelli.md,8rZqMyeBcBSU,141395170810307971544,present_in_work,,,,,,,,,,,,,,,,
