class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_publication_date,has_version_external_source,has_version_note,contributor_value,contributor_role,contributor_label,subject_value,subject_label,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV12950010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,identifier,https://edit16.iccu.sbn.it/titolo/CNCE046721,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,identifier,https://rism.online/sources/990036181,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,title,,,,,,"De lo eccellentissimo musico la Martoretta, li madrigali a quattro voce",,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,inception,,,,,,,1548.0,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,has_version,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE046721,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EaDmr6ppAvfM', 'label': 'Girolamo Scotto'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1548.0,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/_T/T058/,Only Cantus. Tenor part is held by Jagiellonian University Library.,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,contributor,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/THDdx5np8gBo,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",Giandomenico Martoretta,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GhA3XmpeZfqx,arie per cantare,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,has_part,,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
NotatedMusic,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,,,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci,De lo eccellentissimo musico La Martoretta li madrigali a quattro voci.md,bdRLRxnHkEJT,693803999262496585852,instrumentation,,,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus
