class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,inception_reference,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_value,member_value,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,identifier,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,described_by_source,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,instance_of,,,[[academy]],,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,inception,,,,1558.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,dissolved,,,,,,1603.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,official_website,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,catalog_identifier,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,member,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f56LGEz2kCWP,Scipione Bargagli,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia degli Accesi di Siena,,,Accademia degli Accesi di Siena,Accademia degli Accesi di Siena.md,kAr8U53QRu5w,869909651839316401046,notable_work,,,,,,,,,,,,,,,
