class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_section,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,identifier,https://lyra.unil.ch/poems/8092,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hybEFcuqMtfz,Benedetto Varchi,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3u7RPwEQyMmB,Francesco Sansovino,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,part_of,,,,,,,,,209.0,Di M. Francesco Sansovino,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hQ443u9PJfb4,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hybEFcuqMtfz,Benedetto Varchi,,,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,text,,,,,,,,,,,,,,,,,,,,,,,,"VARCHI, s'il ciel vi presti ali al gran nome
Ond'ei sen vole al Mauritano Atlante
Da l'indo mar, si che trapassi quante
Glorie mai coronar altrui le chiome;

Dopo che nel mortal è l'alma, come
Pone in oblio l'alte, celesti, & sante
Prime sostanze? ond'è che le sue tante
Vertù, dal fragil senso human' son dome?

S'ella è luce immortal, perch'il terreno
Velo per lei non divien' santo & chiaro;
S'il maggior il minor mai sempre adombra?

Questo dubbio pensier starà nel seno
A la mia fede, oh sommo Tosco oh raro
Tanto ch'ella per voi d'error sia sgombra.",,
PoeticWork,"Varchi, s'il ciel vi presti ali al gran nome",,,"Varchi, s'il ciel vi presti ali al gran nome","Varchi, s'il ciel vi presti ali al gran nome.md",Y9QYtF3F5jmh,621754403340682169052,language,,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
