class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,part_of,,,,,,,,,,,Canzona dell'arme e della scienza,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BgmxnNpBupRa,dialogue,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/SrVPa4TA2i3P,satire,,,,,,,,,
PoeticWork,Chi è dotto in iscienza,,,Chi è dotto in iscienza,Chi è dotto in iscienza.md,PqsYfV9cJBKK,450684102104684958191,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ngTwYTt8Gx5h,barzelletta,,,,,,,
