class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_label,notable_work_value,notable_work_label,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,identifier,http://www.wikidata.org/entity/Q133577504,,,,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH,(Tostini 2017),,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B3Q5VLN5BsJC,Ancona,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,member_of,,,,,,,,,,,,,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VfXvKbubUY6q,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Giovanni Francesco Maia Materdona,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/k2982ArXhuTq,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Antonio Bruni,,,,,
Agent,Marco Antonio Ferretti,,,Marco Antonio Ferretti,Marco Antonio Ferretti.md,SNDFZU9awXfx,502573640220806199753,related_to,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AkCFpvdrDZzo,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpj9Gp4R6veD', 'label': 'friend'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/25S6pggBXEvH', 'label': '(Tostini 2017)'}]",Eugenio Visdomini,,,,,
