class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,identifier,http://www.wikidata.org/entity/Q3609902,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5ZmX4c5h8CRb,(Moroncini 2017),,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,member_of,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,occupation,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ,author,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,related_to,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,notable_work,,,,,,,,,,,,,,,,,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,
Agent,Alessandro Caravia,,,Alessandro Caravia,Alessandro Caravia.md,3ptrYCZg6oDp,37612413846314115280,catalog_identifier,,,,,,,,,,,,,,,,,
