class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_relationship,related_to_reference,related_to_note,related_to_label,notable_work_value,interested_in_value,interested_in_reference,interested_in_label,catalog_identifier_value,identifier_value,described_by_source_value,described_by_source_label
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,work_location,,,,,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,member_of,,,,,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LyEatsU6bs4d,politician,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Gko7fBDZeRyE,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eHyTL2CjigPa', 'label': 'employer'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",French tornee in 1613.,Comici Fedeli,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9FWwnvkHZR3H,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eHyTL2CjigPa', 'label': 'employer'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",French tournee in 1607.,Comici Accesi,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/K9scK2PaQ63d,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eHyTL2CjigPa', 'label': 'employer'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",French tournee of the Gelosi in1603.,Comici Gelosi,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,related_to,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRuAAvQiEwKY,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EGhZrKVC8j78', 'label': 'parent'}",,,Louis XIII of France,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,interested_in,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX', 'label': '(Ferrone 2011)'}]",commedia dell'arte,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,identifier,,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q182021,,
Agent,Maria de' Medici,Maria de' Medici.md,Maria de' Medici,YX7fAHFFMJr8,629611859753713398759,described_by_source,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FNy2MyAhi2eX,(Ferrone 2011)
