class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_value,part_of_section,part_of_volume,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yirr4fPGSu5,Ascanio Mori,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,part_of,,,,,,,,32.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7NoiV6BUEEEb,,P. La Signora Claudia,Giuoco piacevole d'Ascanio de Mori,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nkvGUfVFSUHZ,ottava rima,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,depicts,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Chi è più miser di me? Più util'al mondo?,,,Chi è più miser di me? Più util'al mondo?,Chi è più miser di me? Più util'al mondo?.md,TZDKRqWqcAGY,527192337570338984355,text,,,,,,,,,,,,,,,,,,,,,,,,"Chi è più miser di me? Più util'al mondo?
Io altrui do vita (ohimè) con la mia morte.
Et mentre vivo sotto grave pondo,
Ad altri vivo per mia dura sorte.
Et la dolc'esca, di cui sempre abondo,
Rapita del mio albergo l'altrui corte
Honora, ove devria porgermi aita.
Et quel, ch' è peggio, mi spoglia di vita."
