class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_volume,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LnJe2SznsdSA,(Di Maro 2021),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FqBWCu5YvZzH,Dianora Sanseverino,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8cwGVT3ZREMt,Laura Terracina,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cxsSo6EFGddg,All'Illustrissima Donna Eleonora Sanseverina Marchesa della Valle Ciciliana,,56.0,Le seste rime della signora Laura Terracina di Napoli,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,"I vivi cieli, & la virtù eccellente",,,"I vivi cieli, & la virtù eccellente","I vivi cieli, & la virtù eccellente.md",L6EDxy6B5otK,372971882118062535170,text,,,,,,,,,,,,,,,,,,,,,,,,,"I vivi cieli, & la virtù eccellente
de la macchina bella, e del del moto,
che sempre stando in un medesimo voto
porgono al mondo, il ben partitamente,

Non gode un sol le gratie giustamente,
come si vede, e come a tutti è noto;
perché saria colui tanto devoto,
che ciaschedun lo segueria sovente.

Ma la natura va scuotendo, e sbriglia
hor questo, hor quello col tesor vitale,
come colei che tien di noi la briglia;

Sì che se n'ho ancora io parte cotale,
non vi fate di ciò gran meraviglia.
che Dio non è del suo mai partiale."
