class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,identifier,http://id.sbn.it/bid/BVEE037819,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS,(Terzaghi 2017),,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,title,,,,,,Rime di Ottauio Tronsarelli,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,inception,,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgMijkuarQNu', 'label': 'Francesco Corbelletti'}",1627.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE', 'label': 'Roma'}]",http://id.sbn.it/bid/BVEE037819,https://books.google.be/books?id=S2hFX7dfPXoC,https://jmms.iccu.sbn.it/jmms/metadata/UW01alpnX18_/b2FpOmJuY2YuZmlyZW56ZS5zYm4uaXQ6MjE6RkkwMDk4Ok1hZ2xpYWJlY2hpOkJWRUUwMzc4MTk_/manifest.json,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Cqn6uHL6LDhS,Accademia degli Oziosi di Napoli,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,Ottavio Tronsarelli,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,subject,,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,YwBMpr45NG8a,638324135242835813186,based_on,,,,,,,,,,,,,,,,,,,
