class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publisher,has_version_place_of_publication,has_version_holding_institution,has_version_external_source,has_version_publication_date,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_value
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,identifier,http://id.sbn.it/bid/MUS0156720,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV13600010,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,identifier,https://rism.online/sources/990041020,,,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,title,,,,,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula Organista di Chiesa, e Camera del Serenissimo, & Invittissimo Rè di Polonia, e Svetia, & c. Opera Quinta",,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,inception,,,,,,,1624.0,,,,,,,,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,has_version,,,,,,,,https://fbc.pionier.net.pl/id/oai:jbc.bj.uj.edu.pl:929207,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U6A7AEa9PvuU', 'label': 'Alessandro Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/94Ee7ZUuzvJ7', 'label': 'Jagiellonian Library'}",cmVzdWx0cz9hY3Rpb249QWR2YW5jZWRTZWFyY2hBY3Rpb24mdHlwZT0tMyZxZjE9YXZhaWxhYmlsaXR5OkF2YWlsYWJsZSZ2YWwxPUNyZWF0b3I6TWVydWxhJTJDK1RhcnF1aW5pbyslNUMoYy4rMTU5NSslRTIlODAlOTMrMTY2NSU1QykmaXBwPTI1,1624.0,Altus,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,has_version,,,,,,,,http://id.sbn.it/bid/MUS0156720,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U6A7AEa9PvuU', 'label': 'Alessandro Vincenti'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA296/,1624.0,Altus missing.,,,,,,
NotatedMusic,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula",,,"Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula","Il Primo Libro de Madrigali concertati a quattro, cinque, sei, sette, et otto voci, con il suo basso continuo di Tarquinio Merula.md",eKf7zw7YBfBf,749282635317741015115,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QWHwQ3aJXMEn,Tarquinio Merula,,,
