class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,notable_work_label,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,identifier,http://www.wikidata.org/entity/Q466811,,,,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,identifier,https://lyra.unil.ch/agents/252,,,,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HJvNcoXxJHJF,(Campbell 2018),,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fVfx85Ctvkra,(Broccia 2008),,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/maA7SzVynMx7,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia dei Dubbiosi di Venezia,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,notable_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LNxSnoqrbvDw,Rime di madonna Gaspara Stampa,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0047,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16223,
Agent,Gaspara Stampa,,,Gaspara Stampa,Gaspara Stampa.md,cAY8wr9pyjdc,704708180709218912749,present_in_work,,,,,,,,,,,,,,,,,,,,
