class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,work_location,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,member_of,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,related_to,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,notable_work,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,interested_in,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",5602.0,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,fdv7dxanqXp9,776530366104188192815,present_in_work,,,,,,,,,,,,,,
