class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_permalink,has_version_note,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,identifier,http://www.wikidata.org/entity/Q48922,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,described_by_source,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,title,,,,,Orlando furioso,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,inception,,,,,,1516.0,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",https://edit16.iccu.sbn.it/titolo/CNCE002566,"Final edition, including extra canti.",1532.0,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,has_version,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",https://edit16.iccu.sbn.it/titolo/CNCE002541,First edtion.,1516.0,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EBMKwsCza3hd,Ludovico Ariosto,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,subject,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,has_part,,,,,,,,,,,,,,,,
Book,Orlando furioso,,['Orlando Furioso'],Orlando furioso,Orlando furioso.md,XU8S5WyvBShC,607894753446260124121,based_on,,,,,,,,,,,,,,,,
