class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,identifier,http://id.sbn.it/bid/BVEE044103,,,,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Zq9ksBtTYP9n,(Nicolaci 2017),,,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,title,,,,,,La roccella espugnata di Francesco Bracciolini dell'Api: al christianissimo rè di Francia Lodouico il Giusto. Con gl'argomenti à ciascun canto del sig. Desiderio Montemagni,,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,inception,,,,,,,1630.0,,,,,,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,has_version,,,,,,,,http://id.sbn.it/bid/BVEE044103,1630.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hMewta6Vr8Jy', 'label': 'Vitale Mascardi'}",https://books.google.be/books?id=ogbj49_s2awC,,,,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7pUzikYB2CFB', 'label': 'commentator'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/efKsbXJYLn9w,Desiderio Montemagni,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YX7fAHFFMJr8,Maria de' Medici,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRuAAvQiEwKY,Louis XIII of France,,,,,
Book,La roccella espugnata di Francesco Bracciolini dell'Api,,['Rocella espugnata'],La roccella espugnata di Francesco Bracciolini dell'Api,La roccella espugnata di Francesco Bracciolini dell'Api.md,AXEquMqgnKRG,175667720850534638837,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4yrdHqNxsZtz,Francesco Bracciolini,,,,,
