class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value
Concept,"['sea vessel', 'water vehicle', 'boat', 'ship']",watercraft,watercraft.md,watercraft,TjWJBuThoERp,530920507075725724576,instance_of,,
Concept,"['sea vessel', 'water vehicle', 'boat', 'ship']",watercraft,watercraft.md,watercraft,TjWJBuThoERp,530920507075725724576,subclass_of,,
