class,description,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label,language_value,language_label
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,identifier,http://id.sbn.it/bid/UBOE133607,,,,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VrEW7dXepBZR,(Nocerino 2014),,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,title,,,,,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,inception,,,,,,,1623.0,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,has_version,,,,,,,,http://id.sbn.it/bid/UBOE133607,1623.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WhwwfwR9cjj9,Adriana Basile,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VfXvKbubUY6q,Giovanni Francesco Maia Materdona,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,based_on,,,,,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WhwwfwR9cjj9,Adriana Basile,,
Book,,Il teatro delle glorie della signora Adriana Basile,Il teatro delle glorie della signora Adriana Basile.md,Il teatro delle glorie della signora Adriana Basile,EpGZ2EhuBLfS,264376707170339901213,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian
