class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value,identifier_value,described_by_source_value
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kCJ6Wh9v2ggw,Parma,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,member_of,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Tg2twUHRexM5,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UxmGCpHFzciy', 'label': '(Sampson 2020)'}]",Accademia degli Innominati di Parma,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,occupation,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,related_to,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,notable_work,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,interested_in,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",15028.0,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,present_in_work,,,,,,,,,,,,,,,,,,,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,identifier,,,,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q4762891,
Agent,"['Livio Celiano', 'Don Agelo Grillo']",Angelo Grillo,Angelo Grillo.md,Angelo Grillo,aHnMfL7WCnia,666060950981094357572,described_by_source,,,,,,,,,,,,,,,,,,,
