class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,identifier_value
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,member_of,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,related_to,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,notable_work,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,interested_in,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,present_in_work,,,,,,,,,,,,,,,
Agent,"['Girolamo Scoto', 'Hieronymus Scottus']",Girolamo Scotto,Girolamo Scotto.md,Girolamo Scotto,EaDmr6ppAvfM,259290616858829700502,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q5564788
