class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,identifier,http://www.wikidata.org/entity/Q1377115,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,described_by_source,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,work_location,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,member_of,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,related_to,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,notable_work,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,interested_in,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Alessandro Striggio,,,Alessandro Striggio,Alessandro Striggio.md,4tXtVLNjEeQy,59563283625529247002,present_in_work,,,,,,,,,,,,,,,,
