class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_IIIF_manifest,has_version_external_source,has_version_holding_institution,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_note,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,based_on_label,catalog_identifier_value,has_part_value,depicts_value
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,identifier,https://edit16.iccu.sbn.it/titolo/CNCE007739,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/97PuKNkGqtm2,(Bolzoni and Girotto 2013),,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,title,,,,,,"Angelica inamorata, composta per messer Vincentio Brusantino ferrarese",,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,inception,,,,,,,1550.0,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,has_version,,,,,,,,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10207995/manifest,https://www.digitale-sammlungen.de/en/view/bsb10207995,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}","[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1553.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ugjg95iYkpuR', 'label': 'Francesco Marcolini'}",Reprint.,https://edit16.iccu.sbn.it/titolo/CNCE007741,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,has_version,,,,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1550.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ugjg95iYkpuR', 'label': 'Francesco Marcolini'}",,https://edit16.iccu.sbn.it/titolo/CNCE007739,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,contributor,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7BiaGa2ziHsu,Vincenzo Brusantini,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,subject,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KdpUz4v9w5E3,Angelica,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,based_on,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,catalog_identifier,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Book,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese",,,"Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese","Angelica inamorata, composta per messer Vincenzo Brusantini ferrarese.md",mvVeWXsTMvFa,906344985320527476653,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
