class,aliases,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,identifier,http://www.wikidata.org/entity/Q56037257,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,work_location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hke846QYoVbD,Antwerpen,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,member_of,,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,related_to,,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,notable_work,,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,interested_in,,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,catalog_identifier,,,,,,,,,,,,,,,
Agent,"['Martino Nucio', 'Martino Nutio', 'Martino Nuzio', 'Martinus Nutius']",Marten Nuyts,Marten Nuyts.md,Marten Nuyts,dtLAfP3ZfkKV,740473453630164971292,present_in_work,,,,,,,,,,,,,,,
