class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,based_on_label,derivative_work_value,text_value,language_value,subject_value,poetic_type_value,depicts_value,metre_value
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F103580000010101_000000171200C,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hGWk3kKYpoWd,Francesco Maria Caccianemici,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3BXdqoQfZNZt,Vincenzo Neriti da Salò,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7RvVvFyfT37a,Di Vincenzo Neriti di Salò il terzo libro di canzonette a quattro voci,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,instrumentation,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,based_on,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JY6qvS7L9qLE,Filli caro ben mio,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,derivative_work,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,text,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,language,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,subject,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,poetic_type,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,depicts,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Filli caro ben mio (Neriti),,,Filli caro ben mio (Neriti),Filli caro ben mio (Neriti).md,EMRKU7ZRwgKc,254657460952561526122,metre,,,,,,,,,,,,,,,,,,,,,,
