class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,text_value,language_value,language_label
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,identifier,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,described_by_source,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RPt3AF9FDvgd,Veronica Gambara,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/D7Lfbq5eiaTi,Veronica Gambara.,10.0,Rime di diversi eccellenti autori bresciani,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,based_on,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,derivative_work,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,subject,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q3VtFUAxVKyf,lover,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YNz7hZ7AqXJk,weeping,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,depicts,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/c4Xg69omaPKA,thousand,,,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,text,,,,,,,,,,,,,,,,,,,,,"Quanti son, poi, che divenuti amanti
Di due begli occhi, e d'un leggiadro viso,
Si pascon sol di dolorosi pianti,
Da se stessi tenendo il cor diviso,
Né gioia né piacer sono bastanti
Trar lor del petto, se non finto riso,
E se lieti tal'hor si mostran fuori,
Hanno per un piacer, mille dolori.",,
PoeticWork,"Quanti son poi, che divenuti amanti",,,"Quanti son poi, che divenuti amanti","Quanti son poi, che divenuti amanti.md",9c5BqS7btqU7,156780582475777207202,language,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian
