class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_note,part_of_label,instrumentation_value,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F219100000010101_000000002400C,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2YQzcFykWbWq,Giaches de Wert,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3ybFxsvJusaH,Lodovico Agostini,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TLwDygVEEnDQ,Ad imitatione del Sig. Giaches Wert,Il nuovo echo a cinque voci,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,instrumentation,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,text,,,,,,,,,,,,,,,"Poiché del vostro canto
Gentil Signora i' vivo,
Fatemi gratia tanto,
Che di quel mai non mi sia fatto nego.
Deh cantate vi prego,
Cantate in cortesia.
Cara la vita mia.",,,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,language,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,,,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,subject,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,poetic_type,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Nf6cF32SCt6E,singing,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Af5NyLo5WJPc,woman,,
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable
MusicComposition,Poiché del vostro canto (Agostini),,,Poiché del vostro canto (Agostini),Poiché del vostro canto (Agostini).md,8AGR92vSusM2,126803163063734278437,metre,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kBwkVvdhkrbQ,heptasyllable
