class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,inception_reference,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,member_reference,member_label,interested_in_value,notable_work_value
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,identifier,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,described_by_source,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,inception,,,,,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,dissolved,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,official_website,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,catalog_identifier,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",111.0,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,member,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iRCYDktcXg33,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",Ottavio Tronsarelli,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,interested_in,,,,,,,,,,,,,,,,,
Organisation,Accademia degli Ordinati di Roma,,,Accademia degli Ordinati di Roma,Accademia degli Ordinati di Roma.md,Uxki4gLFaARk,556354420910229189306,notable_work,,,,,,,,,,,,,,,,,
