class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,work_location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NAvcJHrBT6mr,Bologna,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,member_of,,,,,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,occupation,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/65G5PeyB3GE6,playwright,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,related_to,,,,,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,notable_work,,,,,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kNR7wGs7pHDt,humorous poetry,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,interested_in,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fAjWJgtLnHhs,commedia dell'arte,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,catalog_identifier,,,,,,,,,,,,,,,
Agent,Giulio Cesare Croce,Giulio Cesare Croce.md,Giulio Cesare Croce,ZfF8tq3cpZ9P,653191466886371374404,present_in_work,,,,,,,,,,,,,,,
