class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_pseudonym,member_of_reference,member_of_start_date,member_of_label,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,identifier,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP,Italian Women Writers,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,work_location,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HpAhbrLTqQTH,Piscatrice,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}, {'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}]",1590.0,Accademia degli Erranti di Ceneda,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,related_to,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fvwm42sXFuNw,Fabrizia Carrari,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,notable_work,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,interested_in,,,,,,,,,,,,,,,,,,,,,,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0474,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,catalog_identifier,,,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",16288,
Agent,Innocenza Carrari,,,Innocenza Carrari,Innocenza Carrari.md,8tGS59uVCGpC,142008666833988251734,present_in_work,,,,,,,,,,,,,,,,,,,,,,
