class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,dissolved_reference,location_value,location_label,official_website_value,catalog_identifier_source,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,identifier,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,described_by_source,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,instance_of,,,[[academy]],,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,inception,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,dissolved,,,,,1543.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}]",,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/AC4Js3EhuZqL,Bologna,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,official_website,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,catalog_identifier,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",316.0,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,member,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,interested_in,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,notable_work,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,related_to,,,,,,,,,,,,,,,,
Organisation,Accademia dei Sonnacchiosi di Bologna,,,Accademia dei Sonnacchiosi di Bologna,Accademia dei Sonnacchiosi di Bologna.md,XdsneEewHovt,611428458828049606304,motto,,,,,,,,,,,,,,,,
