class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,octosyllable,octosyllable.md,octosyllable,VQaYNbLwFqmy,565340660302618000417,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2xCaDiBv9GeK,metrical pattern,,
Concept,octosyllable,octosyllable.md,octosyllable,VQaYNbLwFqmy,565340660302618000417,subclass_of,,,,
Concept,octosyllable,octosyllable.md,octosyllable,VQaYNbLwFqmy,565340660302618000417,identifier,,,,http://www.wikidata.org/entity/Q591099
