class,aliases,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,opposite_of_value,identifier_value
Concept,"['enigma', 'puzzle']",riddle,riddle.md,riddle,BL66bhcML892,192265616437899402855,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/g4TPeea9wGN7,form of creative work,,,
Concept,"['enigma', 'puzzle']",riddle,riddle.md,riddle,BL66bhcML892,192265616437899402855,subclass_of,,,,,
Concept,"['enigma', 'puzzle']",riddle,riddle.md,riddle,BL66bhcML892,192265616437899402855,opposite_of,,,,,
Concept,"['enigma', 'puzzle']",riddle,riddle.md,riddle,BL66bhcML892,192265616437899402855,identifier,,,,,http://www.wikidata.org/entity/Q47054
